Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test level),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Text Steps),Custom field (Text Steps),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
SC - Verify Account management -  Verify account management is valid,NC-64,10308,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 4:51 PM,03/Jan/23 4:58 PM,03/Jan/23 4:59 PM,,,0,Productportfolio,"dolongvu

Vũ Đỗ

00321594562

nam

tp HCM

Tân phú

12thd",,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 4:57 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20230103-095734.png;https://dolongvu.atlassian.net/secure/attachment/10189/image-20230103-095734.png,,,,,,,,,,,,,,,NC-62,,,,The system displays successful personal information update,,,,,0|i001jz:,,NC Sprint 3,,,,,,,,,System,,Pass,,"1.Enter required fields 
2.Submit",,,To Do
AM29 - Account management-  Must not be blank,NC-63,10307,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 4:50 PM,03/Jan/23 4:56 PM,03/Jan/23 4:57 PM,,,0,Accoutmn,h1. Check products in cart,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001lm:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"1)Click account management
2)Enter all filelds
3)Save change",,,To Do
Account management,NC-62,10306,Epic,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 4:47 PM,03/Jan/23 4:56 PM,03/Jan/23 4:47 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Delete product in Cart,To Do,,,,purple,,,0|i001le:,,,,,,,,,,,,,,,,,,To Do
P28 - Verify Payment-  Check products in cart,NC-61,10305,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 4:41 PM,03/Jan/23 4:54 PM,03/Jan/23 4:51 PM,,,0,Payment,h1. Check products in cart,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check to see if the product has been purchased or not to proceed with the payment,,,,,,,,,,NC-3,,,,,,,,,0|i001l6:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"1.Add a product to cart
2.click payment",,,To Do
SC - Verify Search - Verify search is vaild,NC-60,10304,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 4:40 PM,03/Jan/23 4:42 PM,03/Jan/23 4:59 PM,,,0,Search,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 4:41 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20230103-094122.png;https://dolongvu.atlassian.net/secure/attachment/10187/image-20230103-094122.png,,,,,,,,,,,,,,,NC-4,,,,The product to be searched will be displayed for the user to choose,,,,,0|i001jt:,,NC Sprint 3,,,,,,,,,System,,Pass,,"1.click search
2. enter required fields
3.submit",,,To Do
SC - Verify Registration - Verify registration is vaild,NC-59,10303,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 4:35 PM,03/Jan/23 4:42 PM,03/Jan/23 4:37 PM,,,0,Search,"dolongvu

[dolongvu@gmail.com|mailto:dolongvu@gmail.com]

dolongvu

123456

123456",,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-1,,,,No error message appeared after click button registration,,,,,0|i001jw:,,NC Sprint 3,,,,,,,,,System,,Pass,,"1.Enter required fields
2.Submit",,,To Do
L27- Verify Password- Password length,NC-58,10302,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 4:30 PM,03/Jan/23 4:32 PM,03/Jan/23 4:34 PM,,,0,Login,{{Minimum password length}},,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notification message“The minimum number of characters you need to enter is 4”,,,,,,,,,,NC-2,,,,Message must show “The minimum number of characters you need to enter is 4”,,,,,0|i001ky:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"1)Fill in all required fields
2)Submit",,,To Do
SM - Verify Registration - Verify registration is vaild,NC-57,10301,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 4:24 PM,03/Jan/23 4:42 PM,03/Jan/23 4:39 PM,,,0,Search,"dolongvu

[dolongvu@gmail.com|mailto:dolongvu@gmail.com]

dolongvu

123456

123456",,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 4:38 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20230103-093808.png;https://dolongvu.atlassian.net/secure/attachment/10184/image-20230103-093808.png,,,,,,,,,,,,,,,NC-1,,,,User redirected to home page,,,,,0|i001ju:,,NC Sprint 3,,,,,,,,,System,,Pass,,"
1.Enter required fields
2.Submit",,,To Do
SP26- Verify Sale product- Sale product categories,NC-56,10300,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 4:23 PM,03/Jan/23 4:28 PM,03/Jan/23 4:34 PM,,,0,Productsale,h1. Sale product categories,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If you choose discounted products, there will be discounted products",,,,,,,,,,NC-36,,,,,,,,,0|i001ki:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"
1)select sale product",,,To Do
HP25- Verify hot product- Hot product categories,NC-55,10299,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 4:19 PM,03/Jan/23 4:24 PM,03/Jan/23 4:23 PM,,,0,Producthot,h1. {{Hot product categories}},,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If you choose the best-selling products, the best-selling products will appear",,,,,,,,,,NC-35,,,,,,,,,0|i001ka:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"
1)select hot product",,,To Do
